comment_id,parent_id,comment,title,score,tags
20329702,20328835,<p>You may want to try to translate your octave code to python and see what's going on. You can also use the python package to do this for you. Check out <a href='http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html' rel='nofollow'>scikit-learn</a> on logistic regression. There is also an easy example in this <a href='http://blog.yhathq.com/posts/logistic-regression-and-python.html' rel='nofollow'>blog</a>.</p>,,2,
33617067,33616265,"<p>Yes; it will work fine, so long as you have enough data on each side to properly define the class. The amount you need depends on the classification method you use. In fact, I have a couple of SVM models that work very nicely, trained with nothing but +ve data -- no -ve data at all!</p> <p>For most methods, the lopsided input suggests that you <em>could</em> toss out the 80% of your +ve cases that aren't doing as much to define the boundary. Which 80% will vary with the method. For instance, spectral clustering and k-means will work well enough if you remove 80% evenly spaced (at random is likely to work). Linear SVM works if you keep only the 10% nearest the boundary. Naive Bayes and random forest can also work nicely with a random 80% removal, although any of these that work by successive refinement may converge a little more slowly.</p>",,1,
33623768,33616265,"<p>It all depends on your results. </p> <hr> <p>Extreme scenario aside: Consider the following scenario: You run your model, and observe your error is somewhat low like 5%. However, in reality, this 5% was because you wrongly classified HALF of your negative data (failed to recognize person's name), then obviously 5% error seems much worse now.</p> <hr> <p>One thing you should do is calculate your precision and recall. </p> <p><strong>Precision</strong>: </p> <p>Out of all the words that we predicted are peoples' names, what fraction of them <em>actually</em> are?</p> <p>Precision = # true positives / (# of true positives + # of false positives)</p> <p>High precision (close to 1) means you have few # of false positives. In other words, your model is pulling a Dos Equis: 'I don't always predict positive, but when I do, I get it right'</p> <p>However, high precision does not tell you whether you classified ALL actual positive examples correctly.</p> <hr> <p><strong>Recall</strong>:</p> <p>Of all the examples that are <em>actually</em> peoples' names, what fraction of those did we predict <em>correctly</em>?</p> <p>Recall = # true positives / (# true positives + # false negatives)</p> <p>High recall (close to 1) means we are correctly classifying the positive examples, and moreover, not misclassifying negative examples</p> <p>However, high recall doesn't tell you whether your model misclassified some negative examples as positives (false positives)</p> <hr> <p>Precision and recall can be tradeoffs (could have lots of one at the expense of the other). If so, look into how to calculate F1 score (simple), which determines whether your model has a sufficient amount of precision and recall.</p> <p>A good F1 score is close to 1. This should tell you more about how well your model is classifying text as people names.</p>",,1,
37392337,37391923,"<p>I think it will be more easily, when you post some data from Ron95_Price_Class.xlsx<br> Right now I see, that you are not delete target variable (y), from train data. You can do it by </p> <pre><code>X = data['Date'] #you can use only one bracket if choose only y = data['Ron95_RM'] #column X = data.drop('Ron95_RM') </code></pre>",,0,
37392955,37391923,"<p>If I am not mistaken the 'u' is just notation that the string is a unicode string. I am not sure how you are running your code, but when i test in an ipython notebook or in a windows command prompt I get the following output:</p> <pre><code>The price for Ron95 in next month will be RM [ 'B'] </code></pre> <p>This is perhaps because I ran this in python 3.5 whereas it appears you are still using python < 3.0. </p> <p>It's not that your answer is wrong, you are just getting info about the format of the data. For other questions on this subject see <a href='https://stackoverflow.com/questions/2464959/whats-the-u-prefix-in-a-python-string'>here</a> and <a href='https://stackoverflow.com/questions/11279331/what-does-the-u-symbol-mean-in-front-of-string-values'>here</a>. The python <a href='https://docs.python.org/3/howto/unicode.html' rel='nofollow noreferrer'>how-to on unicode</a> may also be helpful. </p>",,0,
37393830,37391923,"<p>The Predict method as mentioned in the scikit-learn documentation, <a href='http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html#sklearn.linear_model.LogisticRegression.predict' rel='nofollow'>http://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html#sklearn.linear_model.LogisticRegression.predict</a>, mentions the return of the predict method is array, shape = [n_samples]. So for you the shape is 1x1 array. To get the desired output you ca try 'price[0]'.</p>",,0,
38633268,38621685,"<p>You are not configuring the C parameter - well, technically you are, but only to the default value - which is one of the usual suspects for overfitting. You can have a look at <a href='http://scikit-learn.org/stable/modules/grid_search.html#grid-search' rel='nofollow'>GridSearchCV</a> and play around a bit with several values for the C parameter (e.g. from 10^-5 to 10^5) to see if it eases your problem. Changing the penalty rule to 'l1' might help as well.</p> <p>Besides, there were several challenges with that competition: It is an imbalanced data set, and the distributions between the training set and the private LB were a bit different. All of this if going to play against you, specially when using simple algorithms like LR.</p>",,0,
40868441,40865717,"<p>First of all, double-check if your problem can really be framed as a classification problem or if it should rather be formulated as a regression problem.</p> <p>Assuming you really want to classify your data into the four unique classes present in the <code>Score_Bucket</code> column, why do you think you cannot use multiple columns as predictors? In fact, you are using the last two columns in your example. You can make your code a bit more readable if you consider that <code>sklearn</code> methods directly work with Pandas DataFrames (no need for converting to NumPy arrays):</p> <pre><code>X = dataset[['CourseLoad_RelativeStudy', 'Sleep_Sex']] y = dataset[['Score_Bucket']] logreg = LogisticRegression() logreg.fit(X, y) </code></pre> <p>If you want to select more columns, you can use the <code>loc</code> method:</p> <pre><code>X = dataset.loc[:, 'Healthy':'Sleep_Sex'] </code></pre> <p>You could also select columns by index:</p> <pre><code>X = dataset.iloc[:, 1:] </code></pre> <p>Regarding your second question, I do get different results from the cross-validation procedure depending on which columns I use as features. Just note that you have a very low number of samples (20), which makes your estimated predictions rather variable.</p>",,1,
41124800,40251587,"<p>I assume you are trying to execute the logistic regression example found in the <em>Tensorflow for Machine Intelligence</em> book.</p> <p>When the csv file is loaded, the path is incorrect:</p> <p>Instead of using </p> <p><code>filename_queue = tf.train.string_input_producer([os.path.dirname(__file__) + '/' + file_name])</code></p> <p>use </p> <pre><code>filename_queue = tf.train.string_input_producer([os.path.join(os.getcwd(), file_name)]) </code></pre> <p>The first line will load the file '/train.csv' while the second one will load 'yourPath/train.csv'. Due to the fact that the first file doesn't exists, no data to train can be loaded.</p> <p>The source code of all of the book's examples can be found in the following repo:</p> <p><a href='https://github.com/backstopmedia/tensorflowbook' rel='nofollow noreferrer'>https://github.com/backstopmedia/tensorflowbook</a></p>",,0,
44629756,20328835,"<p>In order to implement Logistic Regression, You may consider the following 2 approaches:</p> <ol> <li><p>Consider How Linear Regression Works. Apply Sigmoid Function to the Hypothesis of Linear Regression and run gradient Descent until convergence. OR Apply the Exponential based Softmax function to rule out lower possibility of occurrence. </p> <pre><code>def logistic_regression(x, y,alpha=0.05,lamda=0): ''' Logistic regression for datasets ''' m,n=np.shape(x) theta=np.ones(n) xTrans = x.transpose() oldcost=0.0 value=True while(value): hypothesis = np.dot(x, theta) logistic=hypothesis/(np.exp(-hypothesis)+1) reg = (lamda/2*m)*np.sum(np.power(theta,2)) loss = logistic - y cost = np.sum(loss ** 2) #print(cost) # avg cost per example (the 2 in 2*m doesn't really matter here. # But to be consistent with the gradient, I include it) # avg gradient per example gradient = np.dot(xTrans, loss)/m # update if(reg): cost=cost+reg theta = (theta - (alpha) * (gradient+reg)) else: theta=theta -(alpha/m) * gradient if(oldcost==cost): value=False else: oldcost=cost print(accuracy(theta,m,y,x)) return theta,accuracy(theta,m,y,x) </code></pre></li> </ol>",,1,
